commentId,text,date
975276303,股票市场全面市场化后，业绩差的股票和业绩优良更加分化，市场配置有利于绩优股。,11-01 16:55
975276303,股票市场全面市场化后，业绩差的股票和业绩优良更加分化，市场配置有利于绩优股。,11-01 16:43
613328751,传快手最早下周在港递交招股书，最快有望今年底完成IPO,11-01 16:13
975266563,先买一箱头曲，口感不错，赚钱了再买1573,11-01 14:20
975265533,一线白酒崩盘，从老窖开始！基金恶炒白酒近乎变态！~~白酒不死，天理不容！[大笑],11-01 14:03
975259807,原来是拉银行地产金融掩护主力获利多的个股出货现在换了是拉白酒知道你们不吃那一套了,11-01 12:30
975259271,有泡泡酒哦！000923二年三倍牛业绩！,11-01 12:22
975257250,酒醒后的第一味好药,11-01 11:48
975254945,利润增长主要在于压缩销售费用，营收不能有效放大，持续增长存疑,11-01 11:13
975253794,老三位置才玩一天，又被洋河盖下来[大笑],11-01 10:55
975252242,泸州老窖定制酒公司举行2021年营销启动会,11-01 10:23
975252242,泸州老窖定制酒公司举行2021年营销启动会,11-01 10:11
957145231,白酒大省呼唤领军企业,11-01 09:57
975247352,哈哈卖出的机构礼拜一要高价买回哈哈,11-01 09:16
975246266,管它基本面，技术面，牛肉面，我只认财务报告。每个季度，评估一下，高端白酒股，谁的,11-01 08:56
975245187,梭哈白酒,11-01 08:37
975244766,股市是一个动态平衡系统。只有看懂了昨天，才能看懂今天,11-01 08:29
975244454,我喜欢风，无拘无束，我喜欢星辰，安静明亮，我喜欢深海中的鲸，孤独澄净,11-01 08:21
638319856,和金财经：三季报公布即将结束 后期整体以科技成长股为主,11-01 06:38
638319856,和金财经：三季报公布即将结束 后期整体以科技成长股为主,11-01 06:20
638319856,和金财经：三季报公布即将结束 后期整体以科技成长股为主,10-31 23:20
975219682,要感谢茅台为所有名酒提价打开了上升空间，1573也是因此受益！尝到甜头后老窖公司,10-31 21:39
59324176,三季报业绩亮眼，基金定投实盘周报 #201031,10-31 20:59
975208121,在我们四川，老窖和五粮液是一个档次的，怎么到这里就变成老三了？市值还是人家的一半,10-31 18:42
975205756,空中加油完毕，年底上200。,10-31 18:01
975205660,今年翻倍涨了102%厉害。,10-31 18:00
975201653,其实前天老窖涨停的时候，开盘也就高开了三点多，经过昨天一天的回落盘整，坚信周一必,10-31 17:01
433103825,继茅台、五粮液之后，白酒老三花落谁家？,10-31 14:33
975190390,[图片],10-31 14:24
975182055,时间的玫瑰正在绽放,10-31 12:28
975182055,时间的玫瑰正在绽放,10-31 11:48
975182055,时间的玫瑰正在绽放,10-31 11:40
975177367,断供、控量、提价 “国窖1573”价格连涨 泸州老窖如何达成200亿,10-31 11:25
43017480,坐标泸州，酒业2020年、十四五预期发展数据出炉,10-31 10:43
975172209,利好泸州老窖：部分国有股权无偿划转充实社保基金10月29日消息，泸州老窖公告，泸,10-31 10:24
975172209,利好泸州老窖：部分国有股权无偿划转充实社保基金10月29日消息，泸州老窖公告，泸,10-31 09:40
975167005,老窑洋河是5年前的茅台,10-31 09:23
975165502,外资周四周五继续加仓老窖,10-31 09:04
975165502,外资周四周五继续加仓老窖,10-31 09:04
975163217,泸州打造千亿白酒产业、千亿酒业园区建设，全市紧盯“双千亿”目标。随着这些项目的一,10-31 08:36
975162829,业绩与股价双飞，每次回调到20日线都可以加仓，待涨做T,10-31 08:33
975156200,成长股是提供长期高回报的好选择，最理想的，是在逆境中识别出优质公司，不过一般人都,10-31 07:30
975156200,成长股是提供长期高回报的好选择，最理想的，是在逆境中识别出优质公司，不过一般人都,10-31 05:16
976552786,净利高增长，国窖树标杆,10-31 00:00
976552786,净利高增长，国窖树标杆,10-30 23:15
975132026,周一继续喝酒吃药,10-30 23:14
975129772,今天由洋河切换泸州老窖[大笑]172本,10-30 22:58
975128885,价值投资者，高枕无忧,10-30 22:52
975127286,随着注册制的实施，我们将会迎来以价值投资为导向的市场,10-30 22:42
975118949,酿酒版块的优质企业每年业绩有10%左右的增长，就已经很不错、很不错了,10-30 21:53
975114807,最后六分之一仓位清盘，始终会关注，始终会买，但价格暂时达到了价值线。,10-30 21:34
975108560,泸州老窖今日热门盘点,10-30 21:04
975103378,周一有可能又一个涨停板,10-30 20:45
975103077,只要敢跌停，我就满上！,10-30 20:44
975099134,深圳对未成年人全面禁酒。,10-30 20:23
975099134,深圳对未成年人全面禁酒。,10-30 20:13
957504580,A股酒香四溢！酒鬼酒第三季度净利润预增三至四倍，股价年内涨幅近180%,10-30 19:57
975092952,停货挺价进程顺利，业绩超预期增长,10-30 19:50
975091288,春节前应该能震荡上行到200,10-30 19:46
975090937,白洒食品从11月才始要飞流瀑布三千尺了，十四五计划和上次公募基金开会科技是第四季度的重仓股了,10-30 19:43
975086981,顶背离很久了，顶部己铁定成了，，，,10-30 19:20
975082980,老窖有点可怕稍微回调就有买单,10-30 18:59
975081071,怒吃一碗大面，本来预计今天汾酒伊利强势上涨一波，结果给劳资砸个跌停，好在这个月收,10-30 18:53
975080667,泸州老窖：主力净流出3.44亿元，两市排名第15（10-30）,10-30 18:52
975080667,泸州老窖：主力净流出3.44亿元，两市排名第15（10-30）,10-30 18:41
975080667,泸州老窖：主力净流出3.44亿元，两市排名第15（10-30）,10-30 17:53
975080667,泸州老窖：主力净流出3.44亿元，两市排名第15（10-30）,10-30 17:49
975058162,调一调更健康,10-30 17:15
975057890,这个老窖就是进二退一，慢慢牛途。,10-30 17:14
975056437,我自巍然不动，拿稳就是了。,10-30 17:07
707160376,稻花香：二次创业,10-30 17:07
